ORDER_NUMBER,LINE_NUMBER,CUSTOMER_NAME,CUSTOMER_TYPE,PO_NUMBER,INVOICE_NUMBER,ORDER_CREATED_DATE,PRINTED_DATE,ESTIMATED_SHIP_DATE,ACTUAL_SHIP_DATE,INVOICE_DATE,ITEM_SKU,LINE_DESCRIPTION,MATERIAL,ORDER_STATUS,INVOICE_STATUS,QTY_ORDERED,QTY_TO_DELIVER,QTY_DELIVERED,QTY_PRINTED,QTY_INVOICED,ACT_UNIT_PRICE,ORDERED_SALES,PRODUCED_SALES,PRODUCED_COST,INVOICED_REVENUE,UOM,TOTAL_YARDS,YARDS_INVOICED,INK_USAGE,INK_TOTAL_COST,SHIPPING_TOTAL,TAX_TOTAL,AMOUNT_PAID,PAYMENT_STATUS,FLAGS,FLAGS_TEXT,PATTERN_WIDTH,PATTERN_HEIGHT,ORDER_TYPE,PRINTED_WIDTH,PRINTED_HEIGHT,CORRECT_AMOUNT_PRINTED,STORAGE_TYPE,CUT_OPTION,Source Data
53472,,China Seas,,53472,SI-53472,9/21/2022,10/5/2022,,,10/5/2022,BoxP,Box Charge,,Invoiced,APPROVED,3,,,3,3,4.75,14.25,,,14.25,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53472,,China Seas,,53472,SI-53472,9/21/2022,10/5/2022,,,10/5/2022,W2/48-96P,Wall Paper 2 Color Min 6 Rolls 48-29,,Invoiced,APPROVED,72,,,72,72,18.35,1321.2,,,1321.2,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53473,,China Seas,,53473,SI-53473,9/21/2022,10/5/2022,,,10/5/2022,1/10/2025P,1 Color 10-25 Yards Printed,,Invoiced,APPROVED,18,,,18,18,20,360,,,360,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53482,,China Seas,,53482,SI-53482,9/22/2022,10/6/2022,,,10/6/2022,1/26/1950P,1 Color 26-50 Yards Printed,,Invoiced,APPROVED,38,,,38,38,19.5,741,,,741,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53486,,China Seas,,53486,SI-53486,9/22/2022,10/6/2022,,,10/6/2022,2/26/1950P,2 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,48,,,48,48,20.25,972,,,972,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53487,,China Seas,,53487,SI-53487,9/22/2022,10/6/2022,,,10/6/2022,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,APPROVED,37,,,37,37,20.75,767.75,,,767.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53503,,China Seas,,53503,SI-53503,9/26/2022,10/10/2022,,,10/10/2022,W4/48-96P,Wall Paper 4 Color Min 6 Rolls 48-29,,Invoiced,APPROVED,48,,,48,48,23.25,1116,,,1116,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53514,,China Seas,,53514,SI-53514,9/27/2022,10/11/2022,,,10/11/2022,1/101-200P,1 Color 101-200 Yards Printed,,Invoiced,APPROVED,150,,,150,150,18.5,2775,,,2775,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53539,,China Seas,,53539,SI-53539,9/29/2022,10/13/2022,,,10/13/2022,GC1/25-48P,GRASS CLOTH 1 COLOR 25-48 ROLLS,,Invoiced,APPROVED,32,,,32,32,8.25,264,,,264,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53575,,China Seas,,53575,SI-53575,10/4/2022,10/18/2022,,,10/18/2022,1/101-200P,1 Color 101-200 Yards Printed,,Invoiced,APPROVED,105,,,105,105,18.5,1942.5,,,1942.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53586,,China Seas,,53586,SI-53586,10/5/2022,10/19/2022,,,10/19/2022,5/26/1950P,5 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,50,,,50,50,24,1200,,,1200,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53587,,China Seas,,53587,SI-53587,10/5/2022,10/19/2022,,,10/19/2022,TubesP,Fabric Shipping Tubes,,Invoiced,APPROVED,4,,,4,4,2.95,11.8,,,11.8,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53587,,China Seas,,53587,SI-53587,10/5/2022,10/19/2022,,,10/19/2022,3/51-100P,3 Colors 51-100 Yds Min 10 Yards Printed,,Invoiced,APPROVED,89,,,89,89,20.5,1824.5,,,1824.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53594,,China Seas,,53594,SI-53594,10/5/2022,10/19/2022,,,10/19/2022,4/26/1950P,4 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,50,,,50,50,22.5,1125,,,1125,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53601,,China Seas,,53601,SI-53601,10/6/2022,10/20/2022,,,10/20/2022,1/51-100P,1 Color 51-100 Yards Printed,,Invoiced,APPROVED,60,,,60,60,19,1140,,,1140,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53608,,China Seas,,53608,SI-53608,10/6/2022,10/20/2022,,,10/20/2022,1/51-100P,1 Color 51-100 Yards Printed,,Invoiced,APPROVED,75,,,75,75,19,1425,,,1425,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53611,,China Seas,,53611,SI-53611,10/7/2022,10/21/2022,,,10/21/2022,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,APPROVED,50,,,50,50,20.75,1037.5,,,1037.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53612,,China Seas,,53612,SI-53612,10/7/2022,10/21/2022,,,10/21/2022,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,APPROVED,50,,,50,50,20.75,1037.5,,,1037.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53613,,China Seas,,53613,SI-53613,10/7/2022,10/21/2022,,,10/21/2022,W1/48-96P,Wall Paper 1 Color Min 6 Rolls 48-29,,Invoiced,APPROVED,54,,,54,54,16.75,904.5,,,904.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53614,,China Seas,,53614,SI-53614,10/7/2022,10/21/2022,,,10/21/2022,1/26/1950P,1 Color 26-50 Yards Printed,,Invoiced,APPROVED,36,,,36,36,19.5,702,,,702,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53615,,China Seas,,53615,SI-53615,10/7/2022,10/21/2022,,,10/21/2022,W3/24-48P,Wall Paper 3 Color Min 6 Rolls 24-48,,Invoiced,APPROVED,48,,,48,48,19.5,936,,,936,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53616,,China Seas,,53616,SI-53616,10/7/2022,10/21/2022,,,10/21/2022,4/26/1950P,4 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,50,,,50,50,22.5,1125,,,1125,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53628,,China Seas,,53628,SI-53628,10/10/2022,10/24/2022,,,10/24/2022,W1/48-96P,Wall Paper 1 Color Min 6 Rolls 48-29,,Invoiced,APPROVED,54,,,54,54,16.75,904.5,,,904.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53629,,China Seas,,53629,SI-53629,10/10/2022,10/24/2022,,,10/24/2022,TubesP,Fabric Shipping Tubes,,Invoiced,APPROVED,6,,,6,6,2.95,17.7,,,17.7,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53629,,China Seas,,53629,SI-53629,10/10/2022,10/24/2022,,,10/24/2022,2/100-200P,2 Colors 100-200 Yds Min 10 Yards Printe,,Invoiced,APPROVED,140,,,140,140,19.25,2695,,,2695,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53645,,China Seas,,53645,SI-53645,10/11/2022,10/25/2022,,,10/25/2022,3/26/1950P,3 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,50,,,50,50,21,1050,,,1050,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53661,,China Seas,,53661,SI-53661,10/13/2022,10/27/2022,,,10/27/2022,1/101-200P,1 Color 101-200 Yards Printed,,Invoiced,APPROVED,120,,,120,120,18.5,2220,,,2220,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53663,,China Seas,,53663,SI-53663,10/13/2022,10/27/2022,,,10/27/2022,W4/24-48P,Wall Paper 4 Color Min 6 Rolls 24-48,,Invoiced,APPROVED,18,,,18,18,23.5,423,,,423,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53667,,China Seas,,53667,SI-53667,10/14/2022,10/28/2022,,,10/28/2022,W4/24-48P,Wall Paper 4 Color Min 6 Rolls 24-48,,Invoiced,APPROVED,35,,,35,35,23.5,822.5,,,822.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53675,,China Seas,,53675,SI-53675,10/14/2022,10/28/2022,,,10/28/2022,1/26/1950P,1 Color 26-50 Yards Printed,,Invoiced,APPROVED,34,,,34,34,19.5,663,,,663,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53676,,China Seas,,53676,SI-53676,10/14/2022,10/28/2022,,,10/28/2022,TubesP,Fabric Shipping Tubes,,Invoiced,APPROVED,3,,,3,3,2.95,8.85,,,8.85,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53676,,China Seas,,53676,SI-53676,10/14/2022,10/28/2022,,,10/28/2022,5/51-100P,5 Colors 51-100 Yds Min 10 Yards Printed,,Invoiced,APPROVED,75,,,75,75,20,1500,,,1500,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53682,,China Seas,,53682,SI-53682,10/17/2022,10/31/2022,,,10/31/2022,2/26/1950P,2 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,36,,,36,36,20.25,729,,,729,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53683,,China Seas,,53683,SI-53683,10/17/2022,10/31/2022,,,10/31/2022,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,APPROVED,50,,,50,50,20.75,1037.5,,,1037.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53684,,China Seas,,53684,SI-53684,10/17/2022,10/31/2022,,,10/31/2022,2/26/1950P,2 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,50,,,50,50,20.25,1012.5,,,1012.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest
53691,,China Seas,,53691,SI-53691,10/18/2022,11/1/2022,,,11/1/2022,3/26/1950P,3 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,APPROVED,50,,,50,50,21,1050,,,1050,,,,,,,,,,,,,,Screen Print,,,,,,Everest
