ORDER_NUMBER,LINE_NUMBER,CUSTOMER_NAME,CUSTOMER_TYPE,PO_NUMBER,INVOICE_NUMBER,ORDER_CREATED_DATE,PRINTED_DATE,ESTIMATED_SHIP_DATE,ACTUAL_SHIP_DATE,INVOICE_DATE,ITEM_SKU,LINE_DESCRIPTION,MATERIAL,ORDER_STATUS,INVOICE_STATUS,QTY_ORDERED,QTY_PRINTED,QTY_TO_DELIVER,QTY_DELIVERED,QTY_INVOICED,ACT_UNIT_PRICE,ORDERED_SALES,PRODUCED_SALES,PRODUCED_COST,INVOICED_REVENUE,UOM,TOTAL_YARDS,YARDS_INVOICED,INK_USAGE,INK_TOTAL_COST,SHIPPING_TOTAL,TAX_TOTAL,AMOUNT_PAID,PAYMENT_STATUS,FLAGS,FLAGS_TEXT,PATTERN_WIDTH,PATTERN_HEIGHT,ORDER_TYPE,CORRECT_AMOUNT_PRINTED,PRINTED_WIDTH,PRINTED_HEIGHT,STORAGE_TYPE,CUT_OPTION,Source Data,Product Type,Memo Yield,Yield,Type Yards vs Fees,Act Print Date,Single Kit Order Number,All Kit Order Number,Kitted vs NOT Kitted,Schu Grounds,Category Customer MTO,Single Ground Price,Kit Ground Price,Kit Produced Income,Calc Yards Produced,Schu Ground Yards,Order-Line,Unit Price Ordered,Ground Direct No Print,Division,New Goods Flag,Holding to Invoice,Single Held to Invoice,New Goods,WIP,Machine Name,Manual Machine Name,Machine Name Combined
54096,,Quadrille Inc.,,54096,SI-54096,12/22/2022,1/5/2023,,,1/5/2023,4/10/2025P,4 Colors 10-25 Yards Printed,,Invoiced,Approved,15,15,,,15,24.5,367.5,,,367.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44931,,,NOT Kitted,,Fabric,0,0,0,15,,54096-,24.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
54109,,Quadrille Inc.,,54109,SI-54109,12/23/2022,1/6/2023,,,1/6/2023,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,Approved,24,24,,,24,20.75,498,,,498,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44932,,,NOT Kitted,,Fabric,0,0,0,24,,54109-,20.75,0,Screen Print,,DONE,DONE,Other,DONE,,,
54110,,Quadrille Inc.,,54110,SI-54110,12/23/2022,1/6/2023,,,1/6/2023,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,Approved,25,25,,,25,20.75,518.75,,,518.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44932,,,NOT Kitted,,Fabric,0,0,0,25,,54110-,20.75,0,Screen Print,,DONE,DONE,Other,DONE,,,
54123,,Quadrille Inc.,,54123,SI-54123,12/26/2022,1/9/2023,,,1/9/2023,2/10/2025P,2 Colors 10-25 Yards Printed,,Invoiced,Approved,25,25,,,25,20.75,518.75,,,518.75,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44935,,,NOT Kitted,,Fabric,0,0,0,25,,54123-,20.75,0,Screen Print,,DONE,DONE,Other,DONE,,,
54124,,Quadrille Inc.,,54124,SI-54124,12/26/2022,1/9/2023,,,1/9/2023,6/10/2025P,6 Colors 10-25 Yards Printed,,Invoiced,Approved,18,18,,,18,26,468,,,468,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44935,,,NOT Kitted,,Fabric,0,0,0,18,,54124-,26,0,Screen Print,,DONE,DONE,Other,DONE,,,
54139,,Quadrille Inc.,,54139,SI-54139,12/28/2022,1/11/2023,,,1/11/2023,1/51-100P,1 Color 51-100 Yards Printed,,Invoiced,Approved,100,100,,,100,19,1900,,,1900,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44937,,,NOT Kitted,,Fabric,0,0,0,100,,54139-,19,0,Screen Print,,DONE,DONE,Other,DONE,,,
54149,,Quadrille Inc.,,54149,SI-54149,12/29/2022,1/12/2023,,,1/12/2023,5/10/2025P,5 Colors 10-25 Yards Printed,,Invoiced,Approved,24,24,,,24,24.5,588,,,588,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44938,,,NOT Kitted,,Fabric,0,0,0,24,,54149-,24.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
54183,,Quadrille Inc.,,54183,SI-54183,1/4/2023,1/18/2023,,,1/18/2023,BoxP,Box Charge,,Invoiced,Approved,2,2,,,2,4.75,9.5,,,9.5,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Shipping Fees,,1,Fees,44944,,,NOT Kitted,,Shipping Fees,0,0,0,0,,54183-,4.75,0,Screen Print,,DONE,WIP,Other,DONE,,,
54183,,Quadrille Inc.,,54183,SI-54183,1/4/2023,1/18/2023,,,1/18/2023,W5/48-96P,Wall Paper 5 Color Min 6 Rolls 48-29,,Invoiced,Approved,60,60,,,60,25.5,1530,,,1530,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Paper,,1,Yards,44944,,,NOT Kitted,,Paper,0,0,0,60,,54183-,25.5,0,Screen Print,,DONE,DONE,Other,DONE,,,
54184,,Quadrille Inc.,,54184,SI-54184,1/4/2023,1/18/2023,,,1/18/2023,2/26/1950P,2 Colors 26-50 Yds Min 10 Yards Printed,,Invoiced,Approved,36,36,,,36,20.25,729,,,729,,,,,,,,,,,,,,Screen Print,,,,,,Everest,Fabric,,1,Yards,44944,,,NOT Kitted,,Fabric,0,0,0,36,,54184-,20.25,0,Screen Print,,DONE,DONE,Other,DONE,,,
