Vendor,Order Type,Material Shu vs Non Shu,Order Type Screen All Together,MATERIAL,Substrate Description,Current vs Old Sku,Replacement Ground,Material Group,Material Color,Material Group - Color,Product Type,Material Width,Cost Per Yard,Avg Sisal Cost Per Yard,All Grounds Cost Per Yard,Curr Vendor Cost Per Yard,FOB Cost Per Yard,On Hand Yards,BNY On Hand,Para On Hand,2025 Ground,3rd Party Price,Schumacher Price,Lead Time (in weeks),Lead Time in Months
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5010857 Mineral,HARUKI SISAL MINERAL,Current,PNW5010857 Mineral,HARUKI SISAL,Mineral,HARUKI SISAL -Mineral,GRASS,36,4.78,5.9,4.66,4.66,,7920,0,7920,PNW5010857 Mineral,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5010856 Mist,5010856 - HARUKI SISAL: MIST,Current,PNW5010856 Mist,HARUKI SISAL,Mist,HARUKI SISAL -Mist,GRASS,36,4.78,5.9,4.66,4.66,,752,0,752,PNW5010856 Mist,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004703 Mocha,5004703 HARUKI SISAL: MOCHA,Current,PNW5004703 Mocha,HARUKI SISAL,Mocha,HARUKI SISAL -Mocha,GRASS,36,4.78,5.9,4.66,4.66,,1667,0,1667,PNW5004703 Mocha,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5008841 PAPERWEAVE (NATURAL),5008841 KIKO PAPERWEAVE (NATURAL),Current,PNW5008841 PAPERWEAVE (NATURAL),HARUKI SISAL,Natural,HARUKI SISAL -Natural,GRASS,36,5.49,6.66,4.66,4.66,,1680,0,1680,PNW5008841 PAPERWEAVE (NATURAL),9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004707 Nile,5004707 HARUKI SISAL NILE,Current,PNW5004707 Nile,HARUKI SISAL,Nile,HARUKI SISAL -Nile,GRASS,36,4.78,5.9,4.66,4.66,,2342,0,2342,PNW5004707 Nile,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004701 Oatmeal,5004701 HARUKI SISAL: OATMEAL,Current,PNW5004701 Oatmeal,HARUKI SISAL,Oatmeal,HARUKI SISAL -Oatmeal,GRASS,36,4.78,5.9,4.66,4.66,,4028,0,4028,PNW5004701 Oatmeal,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004709 Olive,HARUKI SISAL 5004709 OLIVE,Current,PNW5004709 Olive,HARUKI SISAL,Olive,HARUKI SISAL -Olive,GRASS,36,4.78,5.9,4.66,4.66,,864,0,864,PNW5004709 Olive,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5008840 PAPERWEAVE (WHITE),5008840 KIKO PAPERWEAVE (WHITE),Current,PNW5008840 PAPERWEAVE (WHITE),HARUKI SISAL,Paperweave white,HARUKI SISAL -Paperweave white,GRASS,36,5.49,6.66,4.66,4.66,,1632,0,1632,PNW5008840 PAPERWEAVE (WHITE),9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004728 Parchment,HARUKI SISAL Parchment,Current,PNW5004728 Parchment,HARUKI SISAL,Parchment,HARUKI SISAL -Parchment,GRASS,36,4.78,5.9,4.66,4.66,,1776,0,1776,PNW5004728 Parchment,9,7,8-10 weeks,6
"P+W International Co., Ltd.",Screen Print,Schu,Screen Print,PNW5004704 Patina,HARUKI SISAL 5004704 PATINA,Current,PNW5004704 Patina,HARUKI SISAL,Patina,HARUKI SISAL -Patina,GRASS,36,4.78,5.9,4.66,4.66,,520,0,520,PNW5004704 Patina,9,7,8-10 weeks,6
