ITEM_SKU,LINE_DESCRIPTION,COLOR,PRODUCT_TYPE,FINISHED_WIDTH,FINISHED_HEIGHT,PRINTED_WIDTH,PRINTED_HEIGHT,PRODUCT_SIZE,PANEL_COUNT,PRODUCT_NAME,MATERIAL,UOM,HISTORICAL_YIELD,MATERIAL_COST,UNIT_PRICE,QTY,PRODUCT_DESCRIPTION,STATUS,NUMBER_UP,CUT_OPTION,SPECIAL_DETAILS,FORMAT,PATTERN_WIDTH,PATTERN_HEIGHT,BOLT_SIZE,ORDER_TYPE,NUMBER_OF_COLORS,STORAGE_TYPE,Source
306185F,Happy Garden Background,Grey,Fabric,,,60,36,,,Happy Garden Background 306185F (Grey),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC107-15,Sahara,Grey,Fabric,,,60,36,,,Sahara AC107-15 (Grey),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8250-02,BARBADOS BATIK,GRAY DARK GRAY,Fabric,,,60,36,,,BARBADOS BATIK 8250-02 (GRAY DARK GRAY),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7930-13,DAISY BLOTCH,Coral,Fabric,,,60,36,,,DAISY BLOTCH 7930-13 (CORAL),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2490-12,FIORENTINA,Coral,Fabric,,,60,36,,,FIORENTINA 2490-12 (CORAL),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC709-8,MOJAVE,Coral,Fabric,,,60,36,,,Mojave AC709-8 (Coral),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC107-38,Sahara,Brown,Fabric,,,60,36,,,Sahara AC107-38 (Brown),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6170-26,ZIGGURAT,Brown,Fabric,,,60,36,,,ZIGGURAT 6170-26 (BROWN),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306104F,Adras,Lavender,Fabric,,,60,36,,,Adras 306104F (Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC811-02,ARUBA II,Lavender,Fabric,,,60,36,,,Aruba II AC811-02 (Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8300-04,PEACOCK BACKGROUND BATIK,Pink,Fabric,,,60,36,,,PEACOCK BACKGROUND BATIK 8300-04 (PINK),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8330-04,PEACOCK BLOTCH,Pink,Fabric,,,60,36,,,PEACOCK BLOTCH 8330-04 (PINK),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC220-10W,Jacks II,French Green Turquoise Dots,Fabric,,,60,36,,,Jacks II AC220-10W (French Green Turquoise Dots),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC709-10,MOJAVE,Corals,Fabric,,,60,36,,,Mojave AC709-10 (Corals),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC855-05,Safari,French Blue,Fabric,,,60,36,,,Safari AC855-05 (French Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC850-05,Safari Embroidery,French Blue,Fabric,,,60,36,,,Safari Embroidery AC850-05 (French Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC107-14,Sahara,French Blue,Fabric,,,60,36,,,Sahara AC107-14 (French Blue),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2330-06,SAN MARCO,Cream,Fabric,,,60,36,,,SAN MARCO 2330-06 (CREAM),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2330-04,SAN MARCO,Coral,Fabric,,,60,36,,,SAN MARCO 2330-04 (CORAL),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6950-08,Chapelle Stripe,Caramel,Fabric,,,60,36,,,Chapelle Stripe 6950-08 (Caramel),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC855-13,Safari,Caramel,Fabric,,,60,36,,,Safari AC855-13 (Caramel),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
149-30,NITIK II,BLACK BROWN,Fabric,,,60,36,,,NITIK II 149-30 (BLACK BROWN),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC910T-03,Coco II,Lavender,Fabric,,,60,36,,,Coco II AC910T-03 (Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306184F,Happy Garden Background,Lavender,Fabric,,,60,36,,,Happy Garden Background 306184F (Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC115-09,Juan Les Pins,Lavender,Fabric,,,60,36,,,Juan Les Pins AC115-09 (Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
304170F-06,MARTINE,Lavender,Fabric,,,60,36,,,Martine 304170F-06 (Lavender),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6650-04,OBI II,Lavender,Fabric,,,60,36,,,OBI II 6650-04 (LAVENDER),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8300-02,PEACOCK BACKGROUND BATIK,Lavender,Fabric,,,60,36,,,PEACOCK BACKGROUND BATIK 8300-02 (LAVENDER),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8330-06,PEACOCK BLOTCH,Lavender,Fabric,,,60,36,,,PEACOCK BLOTCH 8330-06 (LAVENDER),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302830C-06W,Kazak,Orange Pink,Fabric,,,60,36,,,Kazak 302830C-06W (Orange Pink),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302833S,Kazak,Orange Pink,Fabric,,,60,36,,,Kazak 302833S (Orange Pink),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
302748f,Lane Stripe,Custom New Pink,Fabric,,,60,36,,,Lane Stripe 302748f (Custom New Pink),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7610-06,ANDROS BATIK,Yellow,Fabric,,,60,36,,,ANDROS BATIK 7610-06 (YELLOW),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7230-02,AQUA II,Yellow,Fabric,,,60,36,,,AQUA II 7230-02 (YELLOW),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8250-06,BARBADOS BATIK,Yellow,Fabric,,,60,36,,,BARBADOS BATIK 8250-06 (YELLOW),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306249FWLC,BORGHESE,Yellow,Fabric,,,60,36,,,Borghese 306249FWLC (Yellow),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306107F,Adras,Watermelon,Fabric,,,60,36,,,Adras 306107F (Watermelon),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306137F,Adras Reverse,Watermelon,Fabric,,,60,36,,,Adras Reverse 306137F (Watermelon),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6340-01,AGA,Watermelon,Fabric,,,60,36,,,AGA 6340-01 (WATERMELON),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6345-01,AGA REVERSE,Watermelon,Fabric,,,60,36,,,AGA REVERSE 6345-01 (WATERMELON),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
6620-12,JAVA GRANDE,Watermelon,Fabric,,,60,36,,,JAVA GRANDE 6620-12 (WATERMELON),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC115-02,Juan Les Pins,Watermelon,Fabric,,,60,36,,,Juan Les Pins AC115-02 (Watermelon),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
8030L-03,MALAY FLORAL,Watermelon,Fabric,,,60,36,,,MALAY FLORAL 8030L-03 (WATERMELON),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC120-07,Laurel Reverse,Pale Fern,Fabric,,,60,36,,,Laurel Reverse AC120-07 (Pale Fern),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
AC850-13,Safari Embroidery,Caramel,Fabric,,,60,36,,,Safari Embroidery AC850-13 (Caramel),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306108F,Adras,Camel,Fabric,,,60,36,,,Adras 306108F (Camel),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306700F-01,Chantilly Stripe,Camel,Fabric,,,60,36,,,Chantilly Stripe 306700F-01 (Camel),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
DK1090F-01,Clark,Camel,Fabric,,,60,36,,,CLARK DK1090F-01 (CAMEL),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
7930-22,DAISY BLOTCH,Camel,Fabric,,,60,36,,,DAISY BLOTCH 7930-22 (CAMEL),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2490-05,FIORENTINA,Celadon,Fabric,,,60,36,,,FIORENTINA 2490-05 (CELADON),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
306045F,Malaya,Celadon,Fabric,,,60,36,,,Malaya 306045F (Celadon),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
2330-02,SAN MARCO,Celadon,Fabric,,,60,36,,,SAN MARCO 2330-02 (CELADON),QUAA435Oyster,YD,,0,,1,,A,,,China Seas/Quadrille,Single Sided,,,,Screen Print,2,Fabric,LIFT
